,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timestamp,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
20190101T0000,3.7505286,7.1005287,4.7855287,72.0,92.0,85.166664,4.6938257,22.7057,14.096825,270.37006
20190102T0000,-0.27947134,4.5505285,2.021362,60.0,92.0,79.041664,2.0991426,23.933907,13.428155,319.0513
20190103T0000,-1.6494713,2.7205286,0.07344538,53.0,93.0,76.041664,1.1384199,8.209263,4.7738576,354583
20190104T0000,-1.4994713,4.7405286,1.2596952,61.0,95.0,79.166664,1.2979984,22.553936,9.208037,276.42007
20190105T0000,0.26052865,3.1005285,1.9388618,75.0,94.0,85.416664,14.113653,40.018333,28.47399,270.15128
20190106T0000,1.2905287,5.4605284,3.0126123,66.0,90.0,81.791664,5.8048253,27.698952,17.12898,279.27057
20190107T0000,1.1905286,4.5505285,2.8521955,72.0,92.0,80.708336,4.452954,16.595179,8.361529,277.51337
20190108T0000,2.3805285,5.8005285,4.3792787,77.0,86.0,82.208336,17.727943,43.56595,35.171104,270.09955
20190109T0000,0.39052868,3.7505286,2.416362,60.0,93.0,77.083336,24.640942,37.37244,30.7451,326.06024
20190110T0000,-1.3294713,2.7005286,0.34261194,70.0,92.0,82.458336,1.835647,30.293522,22.575766,359.46277
20190111T0000,-1.4994713,3.7005286,0.66427857,53.0,89.0,76.083336,0.8049845,28.829233,10.204256,256.6075
20190112T0000,1.8705287,5.7005286,3.7984455,69.0,87.0,79.333336,23.97989,47.377968,32.092712,260.40463
20190113T0000,4.8105288,7.6805286,6.5226116,79.0,89.0,83.083336,27.682571,47.297203,37.537273,260.54144
20190114T0000,3.8905284,7.1505284,5.340112,72.0,89.0,81125,9.885262,33.72491,25.075373,290.82364
20190115T0000,0.17052865,6.5305285,3.1596956,66.0,94.0,80.291664,4.2136917,23.803596,10.726402,255.9408
20190116T0000,0.13052866,10.560529,4.505529,51.0,89.0,69.291664,4.198285,20.188908,7.5947576,155.68872
20190117T0000,2.6205285,8.280529,5.840112,62.0,84.0,72.416664,15.273505,29.539747,23.194036,257.11868
20190118T0000,-2.0194714,3.9105287,0.97594523,49.0,93.0,74.208336,1.609969,21.518847,13.24463,5.8773804
20190119T0000,-1.4894713,2.8005285,0.5638619,54.0,78.0,67.833336,1.609969,15.778516,9.279836,112.26942
20190120T0000,-0.56947136,6.4505286,3.0630286,63.0,83.0,74.166664,1.8,12.7279215,7.309702,52.535057
20190121T0000,-1.4394714,2.2505286,0.014278665,67.0,91.0,78.25,2.1897945,12.7279215,9.000829,314.85748
20190122T0000,-2.3394713,3.3405285,-0.35322145,58.0,93.0,75125,1.1384199,10.365251,4.639767,137.32545
20190123T0000,-0.70947134,4.7505283,1.2334453,50.0,89.0,74.25,1.8,22.505037,11.31535,53.459824
